,tempmax,Outcome_EXPIRY_sum,Outcome_DAMA_sum,Outcome_DISCHARGE_sum,SMOKING__sum,ALCOHOL_sum,DM_sum,HTN_sum,PRIOR_CMP_sum,readmissions_sum,CKD_sum,SEVERE_ANAEMIA_sum,ANAEMIA_sum,STABLE_ANGINA_sum,ACS_sum,STEMI_sum,ATYPICAL_CHEST_PAIN_sum,HEART_FAILURE_sum,HFREF_sum,HFNEF_sum,VALVULAR_sum,CAD_sum,total_admissions,condition_rainy,TYPE_OF_ADMISSION_EMERGENCY_OPD_sum,temp,dew,humidity,windspeed,winddir,sealevelpressure,PM10 AVG,PM2.5 AVG,visibility,TLC_median,PLATELETS_median,GLUCOSE_median,UREA_median,CREATININE_median,BNP_median,solarenergy,uvindex,tempmin,sun_duration,cloudcover,male_ratio,rural_ratio,EF_median,HB_mean,DURATION_OF_STAY_median,duration_of_intensive_unit_stay_median,average_age,search_HeroDMCHeartInstitute,search_chestpain,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units
2017-04-09,39.6,7,4,65,5,5,23,42,12,0,7,1,13,9,25,9,2,19,11,8,5,48,91,2,56,26.4,6.028571428571429,31.785714285714285,21.142857142857142,223.95714285714288,1007.0428571428572,75.85714285714286,79.42857142857143,3.171428571428572,10.62857142857143,232.1428571428572,133.40714285714287,38.91428571428571,0.9821428571428572,685.0285714285714,23.0,8.857142857142858,18.67142857142857,759.3761904761905,16.985714285714288,0.6977167569272833,0.2749355907250644,42.92142857142857,12.681011094168989,3.928571428571429,1.8571428571428568,58.89357353173143,0.0,0.0,0.20096463022508,0.1353441608662,3.80794701986756,-0.60406738707296,128.6829277134377,124.4543276545649,143.04113391027224,27020
2017-04-16,44.8,14,1,46,3,3,18,17,15,1,4,0,6,7,11,2,1,14,9,5,4,27,55,0,33,29.457142857142856,2.8714285714285714,21.75714285714286,20.071428571428573,272.3,1005.8428571428572,73.57142857142857,73.14285714285714,2.8857142857142857,10.35,189.67857142857144,145.65714285714287,43.42857142857143,0.9928571428571428,745.4499999999999,26.5,10.0,19.142857142857142,772.1238095238095,5.314285714285715,0.6997010925582353,0.2214955679241393,39.12857142857143,12.719144506287364,4.357142857142857,2.2142857142857144,56.70503504432076,0.0,54.0,0.20096463022508,0.1353441608662,3.80794701986756,-3.10621919103248,128.5797440768629,124.54845317542484,143.39403975291515,13709
2017-04-23,45.4,16,2,46,9,13,35,47,22,1,11,1,13,6,41,18,3,31,24,7,9,60,103,2,70,34.48571428571429,6.357142857142857,20.75714285714286,20.87142857142857,215.25714285714284,1002.2857142857144,85.71428571428571,85.57142857142857,2.7,11.237142857142857,222.80714285714288,144.42857142857142,40.49285714285714,0.9994285714285714,702.4285714285714,24.728571428571428,9.428571428571429,25.81428571428572,784.4857142857143,10.542857142857144,0.6707739547431876,0.2375595399450102,38.121428571428574,12.51912103812481,4.857142857142857,2.357142857142857,62.53780673559747,0.0,59.0,0.20096463022508,0.1353441608662,3.80794701986756,23.7716914070667,128.5190166770978,124.64341451503597,143.76290020150637,12122
2017-04-30,40.5,8,9,145,20,25,80,87,31,2,13,2,23,16,79,36,8,44,29,15,7,106,186,3,128,31.042857142857144,8.328571428571427,26.785714285714285,14.728571428571428,213.7,1005.3714285714286,82.71428571428571,90.71428571428572,3.3285714285714287,10.271428571428572,228.1401154134805,146.2357142857143,34.0,0.9630714285714286,702.7142857142857,26.0,9.428571428571429,23.31428571428572,796.3238095238095,5.028571428571429,0.6669315879842196,0.3070874649822018,39.892857142857146,12.53196151455748,3.928571428571429,1.2142857142857142,59.461379461379465,0.0,46.0,0.20096463022508,0.1353441608662,3.80794701986756,83.9752252252252,130.0,125.4,142.1,11646
2017-05-07,45.0,9,3,116,14,22,67,67,33,3,10,3,24,4,64,30,6,32,25,7,9,90,135,0,98,32.714285714285715,6.1000000000000005,21.15714285714285,18.15714285714285,327.40000000000003,1006.4857142857144,81.42857142857143,89.14285714285714,2.8000000000000003,9.814285714285717,216.42857142857144,139.27142857142857,37.29285714285714,0.9714285714285716,743.2714285714285,25.27142857142857,9.428571428571429,24.457142857142856,807.4738095238096,23.81428571428572,0.6693486090088209,0.3153678862849488,40.9,12.324302242636184,5.142857142857143,2.7857142857142856,59.44765906362545,0.0,0.0,0.17942583732057,-0.07692307692308,4.29397192402973,-8.61541286649936,128.53986024712972,124.83589705208597,144.54961476088965,11844
2017-05-14,45.4,18,3,127,12,10,68,80,23,4,17,3,29,9,46,26,6,40,21,19,3,86,141,1,103,36.2,8.642857142857142,19.985714285714288,18.0,249.7142857142857,1003.6,90.0,104.28571428571428,2.4714285714285715,10.485714285714286,217.5928571428572,153.15714285714284,40.76428571428572,1.0295714285714286,659.6928571428571,25.52857142857143,9.285714285714286,28.571428571428573,817.7333333333333,15.785714285714286,0.6493469250048197,0.2961196259880471,45.535714285714285,12.025575284610508,5.642857142857143,2.2857142857142856,61.564966261808365,0.0,32.0,0.17942583732057,-0.07692307692308,4.29397192402973,-46.4951940788372,128.62242318333287,124.93344445031197,144.9667870407193,11610
2017-05-21,45.2,4,6,139,9,15,62,68,27,10,7,0,16,14,45,24,8,33,21,12,9,81,143,4,95,35.3,11.714285714285714,25.857142857142858,16.728571428571428,272.74285714285713,1001.3714285714286,89.28571428571429,101.71428571428572,3.5285714285714285,9.785714285714286,213.6428571428572,144.9857142857143,35.214285714285715,0.9035714285714286,613.9285714285714,25.7,9.285714285714286,28.25714285714286,826.9047619047618,23.685714285714287,0.6377289377289378,0.2645909645909646,41.66428571428571,12.587271978021978,5.785714285714286,2.9285714285714284,60.21643772893773,0.0,29.0,0.17942583732057,-0.07692307692308,4.29397192402973,-6.0778668002003,128.74942628915815,125.03188006886339,145.39855026457255,10888
2017-05-28,46.3,8,2,128,16,17,64,63,24,10,16,1,24,11,60,24,4,45,26,19,8,83,135,1,102,35.92857142857143,12.014285714285714,26.485714285714288,16.557142857142857,221.12857142857143,1000.5,78.57142857142857,84.42857142857143,2.9857142857142853,10.814285714285717,231.67857142857144,159.67857142857142,38.0,1.008571428571429,607.3142857142857,27.47142857142857,9.857142857142858,29.228571428571428,834.754761904762,4.885714285714286,0.6639833711262283,0.3311035525321239,41.08571428571429,12.159802721088436,5.071428571428571,3.0,62.468820861678005,0.0,90.0,0.17942583732057,-0.07692307692308,4.29397192402973,-0.59980006664445,128.9178348951757,125.13121700813379,145.84388346980066,12724
2017-06-04,48.4,10,2,119,10,7,62,63,26,6,7,0,16,10,51,24,8,30,16,14,5,82,131,3,100,35.5,12.55714285714286,28.17142857142857,19.557142857142857,237.97142857142856,999.2428571428572,92.71428571428572,115.28571428571428,3.1,10.321428571428571,231.6642857142857,144.1357142857143,37.81428571428571,0.9902857142857144,689.3285714285714,28.17142857142857,10.0,27.385714285714283,841.0642857142857,2.314285714285714,0.6438397581254723,0.346182917611489,42.114285714285714,12.513027210884356,5.214285714285714,3.142857142857143,60.73760393046108,0.0,46.0,0.01583531274743,0.03086419753087,3.94736842105264,-1.91082802547771,129.12461433195574,125.23146836851672,146.30176569375507,11330
2017-06-11,46.4,9,10,127,8,13,76,84,30,22,11,1,30,10,49,21,4,35,24,11,8,84,146,4,108,35.128571428571426,17.728571428571428,38.72857142857144,20.31428571428572,248.15714285714284,1000.7714285714284,85.42857142857143,94.0,2.671428571428572,10.524285714285714,229.1428571428572,144.07142857142858,37.21428571428572,0.9935714285714284,687.75,25.37142857142857,8.857142857142858,28.914285714285715,845.6404761904762,10.3,0.6682902044192367,0.255394444265412,41.364285714285714,12.420227455340358,4.642857142857143,2.5,62.18459422298132,72.0,0.0,0.01583531274743,0.03086419753087,3.94736842105264,-2.4812030075188,129.3667299300684,125.33264725040569,146.7711759737871,12116
