,tempmax,PM2.5 AVG,tempmin,condition_rainy,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,sun_duration,cloudcover,search_hospital,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,uvindex,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units,cpi_tobacco_intoxicants_distributed,cpi_FaB_distributed
2022-01-02,20.4,150.0,6.300000000000001,0,12.15,1.15,48.95,10.25,328.6,1021.15,2.3,10.6,611.2083333333334,60.0,36,0.07138607971446,0.23086269744836,5.7017543859649,-14.3436905516804,5.0,163.52348315308882,168.7852477107266,206.2969474567359,7774,48.1,42.05
2022-01-09,20.7,126.0,9.62857142857143,5,13.242857142857144,9.1,78.45714285714287,18.942857142857143,223.25714285714284,1016.842857142857,2.2857142857142856,7.585714285714286,613.9547619047619,65.71428571428571,0,0.1778304682869,-0.61561561561561,6.05493133583022,-8.20254663902872,3.7142857142857135,163.50772654979042,168.9817427829602,206.25466303882652,8911,48.1,42.05
2022-01-16,18.5,140.0,7.057142857142857,1,11.157142857142857,6.885714285714286,76.47142857142856,9.528571428571428,318.4142857142857,1018.8285714285714,19.67142857142857,12.471428571428572,619.7166666666666,33.17142857142857,70,0.1778304682869,-0.61561561561561,6.05493133583022,-8.01612903225806,5.857142857142857,163.48120628435,169.17843631364462,206.21303404719427,7152,48.1,42.05
2022-01-23,18.9,191.0,8.557142857142857,5,11.642857142857142,7.871428571428572,78.95714285714287,18.142857142857142,192.5,1014.3285714285714,19.414285714285715,9.471428571428572,627.245238095238,67.38571428571429,45,0.1778304682869,-0.61561561561561,6.05493133583022,-8.80238470980186,5.285714285714286,163.44650426777568,169.3753115840713,206.17417162590053,8187,48.1,42.05
2022-01-30,20.8,128.0,6.528571428571429,3,10.914285714285716,5.828571428571428,72.82857142857144,13.328571428571427,293.5,1015.9,20.47142857142857,13.785714285714286,636.2738095238095,12.314285714285717,32,0.1778304682869,-0.61561561561561,6.05493133583022,-6.09498173428187,6.571428571428571,163.40620241107538,169.57235187553164,206.14018691900696,7244,38.44,33.28
2022-02-06,20.2,154.0,7.685714285714285,2,11.814285714285717,7.7,77.67142857142858,12.571428571428571,144.81428571428572,1012.3142857142856,19.785714285714285,11.9,646.5357142857143,38.285714285714285,40,0.09417304296645,-0.13546798029557,-14.91588785046729,11.6707616707617,6.428571428571429,163.36288262525719,169.76954046931698,206.11319107057506,7452,38.44,33.28
2022-02-13,22.4,156.0,7.928571428571429,1,13.414285714285716,6.2,63.82857142857143,12.9,247.28571428571428,1015.5714285714286,20.585714285714285,15.742857142857142,657.7642857142857,11.742857142857144,42,0.09417304296645,-0.13546798029557,-14.91588785046729,-19.24275760909424,7.142857142857143,163.31912682132912,169.9668606467186,206.0952952246663,7048,38.44,33.28
2022-02-20,24.8,209.0,8.9,0,15.1,6.814285714285715,60.15714285714286,14.171428571428573,260.0142857142857,1012.342857142857,20.75714285714286,16.6,669.7261904761906,6.228571428571429,0,0.09417304296645,-0.13546798029557,-14.91588785046729,17.3913043478261,7.428571428571429,163.27751691029925,170.164295689028,206.08861052534232,8124,38.44,33.28
2022-02-27,27.4,137.0,10.757142857142856,5,16.085714285714285,8.142857142857142,63.1,25.714285714285715,163.62857142857143,1014.4,19.77142857142857,15.4,682.2285714285715,40.52857142857143,0,0.09417304296645,-0.13546798029557,-14.91588785046729,-8.21970795861135,7.857142857142857,163.24063480317557,170.36182887753654,206.09524811666466,7241,38.44,33.28
2022-03-06,26.4,82.0,11.042857142857144,1,17.114285714285714,8.957142857142857,61.385714285714286,12.357142857142858,289.25714285714287,1016.0857142857144,20.67142857142857,14.828571428571427,695.0976190476191,52.35714285714285,36,0.09417304296645,-0.13546798029557,-15.07462686567165,2.6656832788958,7.714285714285714,163.21106241096618,170.55944349353547,206.11731914269484,7774,48.2,41.55
2022-03-13,34.2,138.0,14.514285714285714,0,21.557142857142857,8.785714285714286,48.142857142857146,17.057142857142857,297.6857142857143,1012.842857142857,20.62857142857143,19.571428571428573,708.2047619047619,18.9,24,0.13181019332162,0.20148791072535,6.71641791044775,-6.29105090311987,8.0,163.1913816446791,170.75712281831633,206.15693474749426,8399,48.2,41.55
